name,country,property_type,price,room_type,bedrooms,beds,accommodates,cancellation_policy,number_of_reviews,minimum_nights,extra_people,maximum_nights,guests_include,review_scores_cleanliness,last_scraped,host_name,host_listings_count,calendar_last_scraped,availability_365,latitude,longitude
Charming Flat in Downtown Moda,Turkey,House,527,Entire home/apt,2,6,6,flexible,1,2,211,1125,1,10.0,2019-02-18,Zeynep,2,2019-02-18,362,29.03133,40.98585
Modern Spacious 1 Bedroom Loft,Canada,Apartment,50,Entire home/apt,1,2,4,flexible,0,1,31,1125,1,0.0,2019-03-11,Konstantin,1,2019-03-11,0,-73.59111,45.51889
Catete's Colonial Big Hause Room B,Brazil,House,250,Private room,1,8,8,strict_14_with_grace_period,1,2,40,1125,4,6.0,2019-02-11,Beatriz,5,2019-02-11,296,-43.18015675229857,-22.92638234778768
Ribeira Charming Duplex,Portugal,House,80,Entire home/apt,3,5,8,moderate,51,2,15,30,6,9.0,2019-02-16,Ana&Gonçalo,3,2019-02-16,239,-8.61308,41.1413
Apt Linda Vista Lagoa - Rio,Brazil,Apartment,701,Private room,1,1,2,flexible,0,1,0,1125,1,0.0,2019-02-11,Livia,1,2019-02-11,363,-43.205047082633435,-22.971950988341874
Ótimo Apto proximo Parque Olimpico,Brazil,Apartment,858,Entire home/apt,2,2,5,strict_14_with_grace_period,0,15,75,20,1,0.0,2019-02-11,Jonathan,1,2019-02-11,0,-43.4311123147628,-23.00035792660916
Be Happy in Porto,Portugal,Loft,30,Entire home/apt,1,1,2,moderate,178,2,0,1125,1,10.0,2019-02-16,Fábio,3,2019-02-16,335,-8.61123,41.15225
New York City - Upper West Side Apt,United States,Apartment,135,Private room,1,1,2,strict_14_with_grace_period,70,12,0,360,1,9.0,2019-03-07,Greta,3,2019-03-07,93,-73.96523,40.79962
Horto flat with small garden,Brazil,Apartment,317,Entire home/apt,1,2,4,flexible,0,2,0,1125,1,0.0,2019-02-11,Ynaie,1,2019-02-11,0,-43.23074991429229,-22.966253551739655
Ligne verte - à 15 min de métro du centre ville.,Canada,Apartment,43,Entire home/apt,0,1,2,moderate,0,2,12,1125,1,0.0,2019-03-11,Caro,1,2019-03-11,32,-73.54949,45.54548
Ocean View Waikiki Marina w/prkg,United States,Condominium,115,Entire home/apt,1,1,2,strict_14_with_grace_period,96,3,0,365,1,8.0,2019-03-06,David,18,2019-03-06,343,-157.83919,21.28634
Private Room in Bushwick,United States,Apartment,40,Private room,1,1,1,flexible,1,14,0,1125,1,10.0,2019-03-06,Josh,1,2019-03-06,0,-73.93615,40.69791
